# max number of non-zeros per row
17
# column index of non-zeros (each row is Np column offsets, 1-indexed)
1 1 1 1 1 1 4 4 4 4 7 7 7 7 9 11 11 11 11 13 14 16 16 16 16 18 19 20 
2 2 2 2 2 2 5 5 5 5 8 8 8 8 10 12 12 12 12 14 15 17 17 17 17 19 20 21 
3 3 3 3 3 3 6 6 6 6 9 9 9 9 13 13 13 13 13 15 19 18 18 18 18 20 21 26 
4 4 4 4 4 4 7 7 7 7 10 10 10 10 14 14 14 14 14 18 20 19 19 19 19 21 25 27 
5 5 5 5 5 5 8 8 8 8 11 11 11 11 15 16 16 15 15 19 21 22 22 20 20 24 26 28 
6 6 6 6 6 6 9 9 9 9 12 12 12 12 18 17 17 16 16 20 25 23 23 22 21 25 27 0 
0 0 0 7 7 7 10 10 10 10 13 13 13 13 19 18 18 17 17 21 26 24 24 23 22 26 28 0 
0 0 0 8 8 8 11 11 11 11 14 14 14 14 20 19 19 18 18 24 27 25 25 24 23 27 0 0 
0 0 0 9 9 9 12 12 12 12 16 16 15 15 21 22 22 19 19 25 28 0 0 25 24 28 0 0 
0 0 0 10 10 10 13 13 13 13 17 17 16 16 0 23 23 20 20 26 0 0 0 26 25 0 0 0 
0 0 0 0 0 0 14 14 14 14 18 18 17 17 0 24 24 22 21 27 0 0 0 0 26 0 0 0 
0 0 0 0 0 0 0 0 15 15 19 19 18 18 0 25 25 23 22 28 0 0 0 0 27 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 19 19 0 0 0 24 23 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 20 20 0 0 0 25 24 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 21 0 0 0 26 25 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 26 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 27 0 0 0 0 0 0 0 0 0 
# non-zero value of Srr
1.500000000000002E+00 -1.500000000000001E+00 -4.515417544711906E-16 -1.936491673103710E+00 1.936491673103710E+00 -1.869929110382160E-15 9.020562075079397E-17 -5.551115123125783E-17 -2.779457691082953E-15 2.225302827533716E-15 -7.494005416219807E-16 8.604228440844963E-16 3.259027891422617E-16 3.400792188720160E-15 -1.887809720044671E-15 -2.053912595556540E-15 4.163336342344337E-16 1.986552882075871E-15 -6.575324754221226E-16 1.155927431719912E-15 -5.658453710469078E-16 -1.443289932012704E-15 9.020562075079397E-16 -6.819322278192722E-16 -3.450637898943467E-15 5.541888507968139E-15 -8.002893266149471E-16 -1.371908202838786E-15 
-1.500000000000000E+00 1.500000000000000E+00 4.515417544711895E-16 1.936491673103709E+00 -1.936491673103708E+00 8.282276630580871E-16 6.522560269672795E-16 -6.314393452555578E-16 5.867672174482688E-16 2.042767444672721E-15 -1.665334536937735E-16 -2.775557561562891E-16 -6.034585452985507E-16 2.767884491853366E-15 -2.721946866820572E-15 -4.302114220422482E-16 1.956768080901838E-15 -7.097964037569414E-16 2.725322858786476E-15 -8.404903156957995E-15 5.726826209971445E-16 4.163336342344337E-16 1.665334536937735E-16 -1.871580728818588E-15 1.091413971615009E-15 -1.131331351254298E-14 -1.896013056139254E-15 -3.916190484670327E-15 
-4.515417544711905E-16 4.515417544711897E-16 2.033307071186382E-30 7.569829055948301E-16 -7.569829055948303E-16 -5.900682216793268E-16 8.642308983289744E-16 -8.642308983289743E-16 -1.391940635727748E-15 -8.116247095829805E-17 1.235491521311465E-15 -1.235491521311464E-15 -1.762269406193819E-15 -2.513062070307684E-16 1.256189988351249E-17 1.706041397893031E-15 -1.706041397893030E-15 -2.693024070054173E-17 -3.007911485061310E-16 -9.159486000093406E-16 7.620673409875697E-16 1.190589589162699E-15 -1.190589589162700E-15 9.789054399792946E-16 -7.159401865896259E-16 -2.602488157214720E-15 1.051295737264088E-15 2.135901884639918E-16 
-1.936491673103710E+00 1.936491673103709E+00 7.569829055948302E-16 3.750000000000002E+00 -3.749999999999999E+00 -4.553626004269909E-16 1.984313483298445E+00 -1.984313483298445E+00 -2.295746513406626E-16 -1.313420463652435E-15 2.164934898019055E-15 -2.095545958979983E-15 -1.040687542188077E-15 5.897168545480166E-17 -2.861793471523490E-16 8.881784197001252E-16 2.053912595556540E-15 7.573415519867582E-16 1.900410512174600E-15 -4.575637344232113E-15 2.689960362692476E-15 -2.775557561562891E-16 1.137978600240785E-15 4.110875592632456E-16 9.250009841620953E-16 -8.154355506245380E-15 1.791565249618344E-15 -1.211048041191292E-15 
1.936491673103709E+00 -1.936491673103708E+00 -7.569829055948302E-16 -3.750000000000000E+00 3.749999999999998E+00 1.882151851265625E-16 -1.984313483298444E+00 1.984313483298444E+00 -5.614592537047614E-16 6.268483747315675E-17 -2.539635168830046E-15 2.081668171172169E-15 4.148682002543576E-17 -1.360014292437407E-15 3.860034968316317E-15 -1.804112415015879E-15 -1.582067810090848E-15 7.969706824884612E-16 -6.236540338556697E-16 9.906442585908842E-15 -3.780993008864638E-15 -1.026956297778270E-15 -5.551115123125783E-17 2.253447699837130E-15 1.128911611394444E-15 1.027765704084099E-14 -2.595501160516346E-15 1.880658079181918E-15 
