# max number of non-zeros per row
10
# column index of non-zeros (each row is Np column offsets, 1-indexed)
1 1 1 1 1 1 4 4 4 4 
2 2 2 2 2 2 5 5 5 5 
3 3 3 3 3 3 6 6 6 6 
4 4 4 4 4 4 7 7 7 7 
5 5 5 5 5 5 8 8 8 8 
6 6 6 6 6 6 9 9 9 9 
0 0 0 7 7 7 10 10 10 10 
0 0 0 8 8 8 0 0 0 0 
0 0 0 9 9 9 0 0 0 0 
0 0 0 10 10 10 0 0 0 0 
# non-zero value of Srr
1.500000000000000E+00 -1.500000000000000E+00 -2.812742981921235E-17 -1.936491673103708E+00 1.936491673103708E+00 7.977031768713724E-16 -4.996003610813204E-16 -4.440892098500626E-16 2.109423746787797E-15 0.000000000000000E+00 
-1.500000000000000E+00 1.500000000000000E+00 2.812742981921232E-17 1.936491673103708E+00 -1.936491673103708E+00 1.737419696756396E-16 -1.110223024625157E-16 1.054711873393899E-15 -1.110223024625157E-16 2.220446049250313E-16 
-2.812742981921232E-17 2.812742981921232E-17 5.795084725746159E-32 2.100729260321613E-16 -2.100729260321613E-16 5.473776862329129E-17 5.050084783165558E-16 -5.050084783165556E-16 1.664858254707417E-16 -6.041333155442716E-17 
-1.936491673103708E+00 1.936491673103708E+00 2.100729260321612E-16 3.749999999999999E+00 -3.749999999999999E+00 -7.481711059313830E-16 1.984313483298443E+00 -1.984313483298440E+00 -2.220446049250313E-15 2.220446049250313E-16 
1.936491673103708E+00 -1.936491673103708E+00 -2.100729260321613E-16 -3.750000000000000E+00 3.750000000000000E+00 1.636349525631508E-15 -1.984313483298444E+00 1.984313483298441E+00 3.774758283725532E-15 -1.110223024625157E-15 
8.606385667550949E-16 1.593788371192677E-16 5.473776862329130E-17 -5.255473617534888E-16 1.524748083916130E-15 3.750000000000000E+00 -1.603296792976834E-15 9.094074025861111E-16 3.968626966596884E+00 -4.440892098500626E-16 
0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 1.984313483298443E+00 -1.984313483298444E+00 -1.997664465337834E-15 5.250000000000000E+00 -5.249999999999997E+00 -3.330669073875470E-15 8.881784197001252E-16 
0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 -1.984313483298440E+00 1.984313483298441E+00 1.276019499331482E-15 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 
0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 -1.555256141376665E-15 3.220590678314400E-15 3.968626966596884E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 
0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 8.604228440844963E-16 -1.720845688168993E-15 -2.729540937028404E-16 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 
# non-zero value of Srs
3.000000000000000E+00 -1.500000000000000E+00 -1.500000000000000E+00 -3.872983346207418E+00 1.936491673103709E+00 1.936491673103708E+00 -1.052664941508649E-15 -9.714451465470120E-16 1.941313489573270E-15 6.036837696399289E-16 
-1.500000000000000E+00 6.140531416889226E-16 1.500000000000000E+00 1.936491673103709E+00 1.002355291098027E-16 -1.936491673103710E+00 3.842377317067598E-16 1.750894658811417E-15 -1.482640270595864E-15 4.654751166412402E-16 
-1.500000000000000E+00 1.500000000000000E+00 5.625485963842466E-17 1.936491673103709E+00 -1.936491673103709E+00 7.993660570327659E-16 7.241115853649106E-18 7.450936387726527E-16 2.218807080470415E-16 1.545780785510700E-15 
-3.872983346207418E+00 1.936491673103709E+00 1.936491673103709E+00 3.750000000000004E+00 -3.750000000000000E+00 -3.750000000000002E+00 1.984313483298442E+00 1.984313483298445E+00 -3.968626966596886E+00 1.799777489050230E-15 
1.936491673103709E+00 1.002355291098027E-16 -1.936491673103709E+00 -3.750000000000000E+00 3.750000000000003E+00 3.750000000000003E+00 -5.952940449895332E+00 1.984313483298442E+00 3.968626966596889E+00 2.525757381022231E-15 
1.936491673103708E+00 -1.936491673103710E+00 7.993660570327659E-16 -3.750000000000002E+00 3.750000000000003E+00 3.749999999999998E+00 1.984313483298439E+00 -1.984313483298442E+00 3.968626966596885E+00 4.582575694955837E+00 
0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 1.984313483298442E+00 -5.952940449895332E+00 1.984313483298439E+00 5.250000000000003E+00 -5.249999999999996E+00 -3.500000000000005E+00 -2.642607729223712E-15 
0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 1.984313483298445E+00 1.984313483298442E+00 -1.984313483298442E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 
0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 -3.968626966596886E+00 3.968626966596889E+00 3.968626966596885E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 
0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 1.799777489050230E-15 2.525757381022231E-15 4.582575694955837E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 
# non-zero value of Sss
1.500000000000000E+00 -3.070265708444613E-16 -1.500000000000000E+00 -1.936491673103709E+00 2.403703357979457E-17 1.936491673103709E+00 -1.582067810090848E-15 -1.165734175856414E-15 7.494005416219807E-16 -7.736866702856560E-16 
-3.070265708444612E-16 3.477701650675703E-31 3.070265708444612E-16 9.724677263009336E-16 1.395563714861529E-16 -9.724677263009330E-16 -1.180289655200937E-15 -2.374615476627020E-16 1.644513898502467E-16 -1.078042937708039E-15 
