# max number of non-zeros per row
15
# column index of non-zeros (each row is Np column offsets, 1-indexed)
1 1 1 1 1 1 4 4 4 4 7 7 7 7 9 11 11 11 11 13 14 
2 2 2 2 2 2 5 5 5 5 8 8 8 8 10 12 12 12 12 14 15 
3 3 3 3 3 3 6 6 6 6 9 9 9 9 13 13 13 13 13 15 19 
4 4 4 4 4 4 7 7 7 7 10 10 10 10 14 14 14 14 14 18 20 
5 5 5 5 5 5 8 8 8 8 11 11 11 11 15 16 16 15 15 19 21 
6 6 6 6 6 6 9 9 9 9 12 12 12 12 18 17 17 16 16 20 0 
0 0 0 7 7 7 10 10 10 10 13 13 13 13 19 18 18 17 17 21 0 
0 0 0 8 8 8 11 11 11 11 14 14 14 14 20 19 19 18 18 0 0 
0 0 0 9 9 9 12 12 12 12 16 16 15 15 21 0 0 19 19 0 0 
0 0 0 10 10 10 13 13 13 13 17 17 16 16 0 0 0 20 20 0 0 
0 0 0 0 0 0 14 14 14 14 18 18 17 17 0 0 0 0 21 0 0 
0 0 0 0 0 0 0 0 15 15 19 19 18 18 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 19 19 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 20 20 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 21 0 0 0 0 0 0 0 
# non-zero value of Srr
1.500000000000000E+00 -1.500000000000000E+00 -1.988309810026636E-16 -1.936491673103708E+00 1.936491673103709E+00 1.626211445645105E-15 1.873501354054952E-15 -1.221245327087672E-15 1.356505821581219E-15 -1.386025088638545E-15 1.720845688168993E-15 -1.443289932012704E-15 5.753533536601333E-16 -2.767022436515592E-15 -7.213925665759716E-16 -1.942890293094024E-16 -1.526556658859590E-15 2.549287092878741E-15 -1.085133435956335E-16 1.175479778202243E-15 -2.981967736377669E-16 
-1.500000000000000E+00 1.500000000000000E+00 1.988309810026627E-16 1.936491673103708E+00 -1.936491673103709E+00 -1.248041727882161E-15 -7.355227538141662E-16 4.857225732735060E-16 -5.307774470162592E-16 7.467794877410915E-16 -9.159339953157541E-16 5.828670879282072E-16 1.312025788202633E-15 1.507613192956430E-15 -2.478521725297746E-15 -1.110223024625157E-16 1.804112415015879E-15 -1.161508312097295E-15 1.454658760953636E-15 -3.958843595407031E-15 -9.410734145674769E-16 
-1.988309810026635E-16 1.988309810026626E-16 8.968346110034128E-31 2.857482756673704E-16 -2.857482756673693E-16 -3.292436612081219E-16 -2.950415443968598E-17 2.950415443968603E-17 -1.151361584569760E-15 3.961310291960442E-17 -5.036621861899344E-16 5.036621861899324E-16 -2.512494499536683E-15 5.541134794810625E-16 7.807340124713961E-16 -2.641977064522173E-16 2.641977064522182E-16 -1.526568239672705E-15 8.294751451906312E-16 8.233644147384655E-16 3.039877829423958E-16 
-1.936491673103708E+00 1.936491673103708E+00 2.857482756673705E-16 3.749999999999997E+00 -3.749999999999998E+00 -1.052654132313970E-15 1.984313483298439E+00 -1.984313483298440E+00 -1.591800368161457E-15 9.712039758244886E-16 -2.192690473634684E-15 1.998401444325282E-15 -8.483184371057394E-16 4.254527268052920E-16 -7.414112837192764E-16 -5.551115123125783E-16 4.468647674116255E-15 -1.498195315209096E-15 -9.590832718105866E-16 -8.501805238020581E-16 -2.480025280721905E-15 
1.936491673103709E+00 -1.936491673103708E+00 -2.857482756673695E-16 -3.749999999999999E+00 3.750000000000000E+00 2.003282597149261E-15 -1.984313483298440E+00 1.984313483298441E+00 1.008933280233250E-15 -7.127301779039442E-16 6.661338147750939E-16 -8.049116928532385E-16 -3.037462149082309E-15 1.017837205207412E-15 3.239846769994873E-15 -1.304512053934559E-15 -2.775557561562891E-15 1.054106105359033E-15 3.346062774754673E-15 4.624938807527590E-15 1.808578875301632E-15 
1.295017660947876E-15 -9.164142623159379E-16 -3.292436612081218E-16 -1.015793721843255E-15 1.602130256723416E-15 3.749999999999998E+00 4.041111641991055E-16 -2.128426299320052E-15 3.968626966596885E+00 1.556155378168445E-15 4.426370588597669E-16 -3.671176548119316E-17 4.128641872824797E-16 -3.131175874138137E-16 -5.590878237801689E-15 1.378491733359771E-15 9.182821488335222E-16 -3.129441150662160E-15 -1.734723475976807E-15 -6.391046546150303E-15 0.000000000000000E+00 
0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 1.984313483298440E+00 -1.984313483298441E+00 3.789353347221262E-16 5.249999999999995E+00 -5.249999999999996E+00 -3.044026483424218E-16 1.672563608298073E-15 2.598076211353313E+00 -2.598076211353312E+00 -6.403877693196640E-16 1.319140949283154E-15 8.402423671402401E-16 0.000000000000000E+00 4.218847493575595E-15 -7.333820269711509E-16 1.178782387246852E-15 3.555607729624067E-15 0.000000000000000E+00 
0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 -1.984313483298441E+00 1.984313483298442E+00 -2.349581203431779E-15 -5.249999999999996E+00 5.249999999999996E+00 -2.582177215682985E-15 5.999241452315446E-16 -2.598076211353313E+00 2.598076211353312E+00 -2.574604545542956E-17 4.009929568917598E-15 3.506452991178383E-16 6.661338147750939E-16 -4.884981308350689E-15 7.333820269711507E-16 5.815622667891634E-15 0.000000000000000E+00 0.000000000000000E+00 
