# max number of non-zeros per row
12
# column index of non-zeros (each row is Np column offsets, 1-indexed)
1 1 1 1 1 1 4 4 4 4 7 7 7 7 9 
2 2 2 2 2 2 5 5 5 5 8 8 8 8 10 
3 3 3 3 3 3 6 6 6 6 9 9 9 9 13 
4 4 4 4 4 4 7 7 7 7 10 10 10 10 14 
5 5 5 5 5 5 8 8 8 8 11 11 11 11 15 
6 6 6 6 6 6 9 9 9 9 12 12 12 12 0 
0 0 0 7 7 7 10 10 10 10 13 13 13 13 0 
0 0 0 8 8 8 11 11 11 11 14 14 14 14 0 
0 0 0 9 9 9 12 12 12 12 0 0 15 15 0 
0 0 0 10 10 10 13 13 13 13 0 0 0 0 0 
0 0 0 0 0 0 14 14 14 14 0 0 0 0 0 
0 0 0 0 0 0 0 0 15 15 0 0 0 0 0 
# non-zero value of Srr
1.499999999999998E+00 -1.499999999999999E+00 7.641594142197181E-17 -1.936491673103707E+00 1.936491673103707E+00 -6.770635372699284E-16 -1.422473250300982E-15 1.332267629550188E-15 -2.834157859570392E-16 -1.810839981503517E-15 -2.012279232133096E-15 2.470246229790973E-15 1.129999370436346E-15 -3.323469852687784E-15 1.796601691423201E-15 
-1.499999999999999E+00 1.500000000000000E+00 -7.641594142197155E-17 1.936491673103708E+00 -1.936491673103708E+00 5.313467652878766E-16 3.053113317719180E-16 -2.151057110211241E-16 8.912675664763685E-17 1.758798277224213E-15 3.608224830031759E-16 -1.096345236817342E-15 -1.977634581118933E-17 3.101425247762753E-15 4.238443578271116E-16 
7.641594142197191E-17 -7.641594142197164E-17 3.615678859168662E-31 -3.666116650832725E-16 3.666116650832723E-16 2.300861418304197E-16 -9.390531773466399E-16 9.390531773466397E-16 7.306104624588759E-16 -3.631696468605353E-16 -5.456988071815843E-16 5.456988071815849E-16 9.316033820062225E-16 -2.078443278955296E-16 -2.052143647241474E-17 
-1.936491673103708E+00 1.936491673103708E+00 -3.666116650832723E-16 3.750000000000000E+00 -3.750000000000000E+00 -3.187648753697438E-16 1.984313483298444E+00 -1.984313483298444E+00 -8.066912602321689E-16 1.298916529278955E-15 3.885780586188048E-16 -2.386979502944087E-15 7.658085982324349E-16 4.477176901557519E-15 -1.674320737241689E-15 
1.936491673103708E+00 -1.936491673103708E+00 3.666116650832722E-16 -3.750000000000000E+00 3.750000000000000E+00 -3.751245150209791E-16 -1.984313483298444E+00 1.984313483298444E+00 -5.255763693180189E-16 -3.135935949241280E-16 3.330669073875470E-16 1.942890293094024E-15 -1.209897808082497E-15 -2.256730852307206E-15 1.230231527391626E-15 
-5.204314335668211E-16 3.469590859691405E-16 2.300861418304198E-16 -4.543858420919078E-16 -1.978701848753718E-16 3.749999999999997E+00 -1.588774609198380E-15 1.755308062892153E-15 3.968626966596883E+00 8.881784197001251E-16 -6.588906421000667E-16 9.919575494876140E-16 -1.496853295501262E-31 4.440892098500626E-16 0.000000000000000E+00 
0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 1.984313483298444E+00 -1.984313483298444E+00 -1.706695727148521E-15 5.250000000000004E+00 -5.250000000000004E+00 -2.272384678798054E-15 -1.989286887000807E-17 2.598076211353316E+00 -2.598076211353319E+00 1.752817534757083E-16 -1.046414870910382E-15 0.000000000000000E+00 
0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 -1.984313483298444E+00 1.984313483298444E+00 1.651184575917263E-15 -5.250000000000004E+00 5.250000000000004E+00 1.495228561560444E-15 -5.768520068660135E-16 -2.598076211353315E+00 2.598076211353318E+00 -1.507549383025896E-15 -2.284254202965088E-15 0.000000000000000E+00 
0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 -1.023059903841913E-15 -3.647188769395322E-16 3.968626966596883E+00 -2.691814321622950E-15 2.025680506847856E-15 6.999999999999998E+00 2.144118216307334E-15 0.000000000000000E+00 0.000000000000000E+00 4.472135954999579E+00 1.605272666399872E-32 0.000000000000000E+00 
0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 1.457167719820518E-15 -4.996003610813204E-16 7.278309417012453E-16 -1.942890293094024E-16 -2.220446049250313E-16 5.484175597588034E-16 1.399999999999998E+01 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 
0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 2.598076211353316E+00 -2.598076211353315E+00 -6.839934406338471E-16 -4.089345453956870E-15 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 
0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 1.350127255408941E-15 2.118699585247216E-15 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 
# non-zero value of Srs
2.999999999999999E+00 -1.500000000000000E+00 -1.499999999999999E+00 -3.872983346207416E+00 1.936491673103708E+00 1.936491673103707E+00 -8.479407075909413E-16 1.360023205165817E-15 -1.071164496410163E-16 -1.238983147303864E-15 -3.043128343488349E-15 3.178013407989511E-15 2.529841618702906E-16 -1.833982082669261E-15 2.613602525839644E-15 
