# max number of non-zeros per row
18
# column index of non-zeros (each row is Np column offsets, 1-indexed)
1.500000000000003E+00 -1.500000000000002E+00 1.181953286447844E-16 -1.936491673103707E+00 1.936491673103708E+00 6.526519683755157E-18 6.106226635438361E-16 -5.377642775528102E-16 2.517560237680572E-15 -1.702186692757727E-16 -1.023486850826316E-15 3.403527459866496E-15 2.251696769440598E-15 -1.122357375155888E-15 -1.910838594978089E-16 -4.163336342344337E-15 3.143318938469974E-15 -3.983924001837900E-15 -4.639502739540252E-16 -2.423690505260417E-15 -1.908539462320159E-15 -1.713906794265085E-15 -3.323730179971562E-15 -6.124126930719308E-16 3.120458939057964E-15 3.159167116266815E-15 -3.046755896039352E-15 8.877738535075141E-15 -3.747002708109903E-16 -1.096345236817342E-15 1.013623194337359E-15 7.769552892938926E-16 2.473961312238709E-14 -1.294699517210610E-14 -1.097034070232007E-15 1.296420904733630E-15 9.020562075079397E-16 5.120903701083535E-15 -2.685369844091484E-15 -5.299847488142306E-15 1.787621621433361E-14 -1.404444746767004E-14 -1.006021106191624E-14 -8.944831912842546E-17 2.745722848987836E-14 1.776356839400250E-15 -8.881784197001252E-16 6.791209474223074E-15 1.779781304201315E-15 -6.052899882003075E-15 -7.131376732065478E-15 3.852446579407666E-15 -1.463035273161449E-14 2.431160942171464E-14 2.608546996454956E-16 -3.497202527569243E-15 7.771561172376096E-16 1.803745509872905E-15 -4.355236060124597E-16 2.046854202470262E-15 -6.592208227562858E-15 -3.129471868609800E-14 -2.889706332904577E-14 3.220245537665715E-15 -7.057864911150079E-15 5.020449817830879E-15
-1.500000000000002E+00 1.500000000000002E+00 -1.181953286448008E-16 1.936491673103709E+00 -1.936491673103709E+00 1.542473124146285E-15 4.302114220422482E-16 -5.655198531684391E-16 5.012922913880665E-16 3.022537744650640E-15 -6.383782391594650E-16 -1.977584762613560E-15 -1.231679365566236E-15 3.847770586241326E-15 1.867548409362466E-15 1.221245327087672E-15 -1.179611963664229E-16 -9.496295638401357E-16 -3.517240103412745E-15 4.086978610597587E-15 1.201208717847698E-15 2.171873791922962E-15 3.060052211623088E-15 -2.704378592995719E-15 -7.357521029131317E-15 1.167226428438269E-16 -2.938670855157702E-16 -1.058569197610515E-15 1.609823385706477E-15 -1.249000902703301E-16 -8.381141121379430E-17 4.269428030340093E-16 -1.217782991153553E-14 -2.226326140402011E-15 2.830598143392480E-15 5.772954289725637E-15 -9.020562075079397E-16 -5.093148125467906E-15 8.014440362292237E-15 9.422221164885635E-16 -1.441067239020094E-14 -4.831390382558189E-15 4.486079936031185E-15 1.049492888782863E-14 -1.152956200761948E-14 -3.538835890992686E-15 2.539635168830046E-15 -2.408936289346438E-16 -2.723470875132692E-15 -4.393027268401353E-16 2.416994635555376E-15 -1.390308372757713E-14 1.018965918293064E-14 -5.840569986635239E-15 -2.403799086192898E-15 -3.080868893334809E-15 5.717648576819556E-15 -1.304145148791577E-15 -4.526548136876878E-16 -7.362046932863207E-15 -2.048774666929356E-15 -2.268131756565346E-15 5.001356474586913E-16 -1.563610804578107E-15 1.574790146005304E-15 -3.645345863846344E-15
1.181953286447853E-16 -1.181953286448016E-16 1.124126710367337E-29 -4.899608621484956E-16 4.899608621485009E-16 -7.502491487511885E-18 -9.236703245997241E-17 9.236703245997073E-17 2.044293189118839E-16 5.381801673960552E-16 1.079340711129119E-15 -1.079340711129116E-15 6.109422277569237E-16 2.125808920785005E-15 8.483237234602965E-16 1.686856514405598E-15 -1.686856514405596E-15 1.880262298029383E-15 6.051734064857239E-15 7.832707794087374E-16 -4.458694822310278E-16 3.882589518979622E-16 -3.882589518979736E-16 3.262529895078464E-15 5.529756525541682E-15 -9.999212568266100E-16 -6.256107707912929E-17 4.243188511445017E-16 -6.633407137862946E-16 6.633407137862611E-16 3.259195731931124E-15 1.764661385832532E-15 -4.124120512897306E-15 3.196806801330316E-15 3.545602071973787E-15 -1.338576755071420E-15 -9.396647584393206E-16 9.396647584393356E-16 1.561663190061536E-15 5.991248831565935E-17 -1.807068838854709E-15 7.296473396190747E-15 6.727352349509653E-15 -5.628384440342741E-16 -2.017565108600065E-15 -3.235054787074171E-16 3.235054787074629E-16 7.492913402215720E-16 3.772239488796816E-15 7.959075427621736E-16 9.067456717253177E-15 4.378738194616335E-15 4.704493321090859E-15 -9.113641193213348E-16 -1.362204669710078E-15 2.546045149148734E-15 -2.546045149148744E-15 1.014890905117427E-15 1.163682391474138E-14 -1.244996636129439E-15 5.376626781631002E-15 2.273467217042337E-15 6.387167314854452E-15 3.596183571403538E-15 -1.852572027040978E-15 -4.374326106144665E-16
-1.936491673103708E+00 1.936491673103709E+00 -4.899608621484924E-16 3.749999999999999E+00 -3.749999999999998E+00 -1.685031299458370E-16 1.984313483298446E+00 -1.984313483298444E+00 -1.936401429342804E-15 4.116171226958420E-15 1.301042606982605E-15 -4.940492459581947E-15 -9.474934232927272E-16 7.325493263216270E-15 5.322301512245447E-15 2.442490654175344E-15 -1.228184220991579E-15 1.654244649595008E-15 3.221023295789464E-15 7.730333447966712E-15 1.846802479316355E-15 5.009881398621019E-15 1.422473250300982E-15 -3.390180609257094E-15 -3.756333012444138E-15 4.115815038798300E-15 3.444925621272460E-15 3.196469395194558E-15 3.760880495917718E-15 -3.899658373995862E-15 -2.721074474339855E-15 1.377563953741874E-15 -4.521416950733988E-15 9.834742925432642E-15 5.454293595371786E-15 7.317969416781265E-15 3.080868893334809E-15 -8.604228440844963E-15 3.890628911920353E-15 5.291916381537124E-15 -4.572323023969670E-15 7.353867011067040E-15 -7.092966655814207E-15 1.563699665665359E-14 -1.006165070727248E-14 -4.871103520542874E-15 5.620504062164855E-15 -6.442713545457461E-15 -5.873706423215032E-16 9.916524972148079E-15 1.230090716173199E-14 -3.492671191774011E-14 2.633157508726841E-14 -4.762707674475793E-15 9.377561477382286E-15 -6.009082120783660E-15 7.646661082105766E-15 5.576737440081214E-16 6.853169821605002E-15 -8.654664654931792E-15 5.359920746887012E-15 -3.142811482143753E-14 1.718248489428239E-14 4.550430775424460E-16 1.861311815541028E-14 9.333838624415822E-16
1.936491673103709E+00 -1.936491673103709E+00 4.899608621484977E-16 -3.749999999999999E+00 3.749999999999999E+00 -9.658430122686883E-17 -1.984313483298444E+00 1.984313483298444E+00 1.945075046722688E-15 -3.738001509195476E-15 -9.263423361716150E-16 4.374972606413507E-15 8.711655903497481E-16 -4.254382189433831E-15 -6.187726932916427E-15 -1.408595462493167E-15 1.353084311261910E-16 -4.055101940346910E-15 3.091201752421142E-15 -8.451233024979479E-15 -2.152312387374846E-15 -2.615963001773025E-15 -3.920475055707584E-15 2.529757765172596E-15 5.076457577662489E-15 -6.593813314122545E-15 3.582650173935544E-16 -7.058150239671995E-15 -1.977584762613560E-15 2.060851489460447E-15 4.969276099205798E-15 -8.139516063099467E-15 -5.182409333445775E-15 5.000859574741607E-15 -1.148562936279240E-14 -8.053261797382715E-15 -3.691491556878645E-15 9.256484467812243E-15 -3.224495097145259E-15 -1.250836604160064E-14 -7.372982831606625E-15 5.360077233815372E-16 -4.161125587349360E-16 -2.014713223779129E-14 3.753756338965513E-16 3.358424649491099E-15 -4.246603069191224E-15 5.887602033144881E-15 -4.436388544107333E-15 -1.638183936711364E-14 -1.526863955836793E-14 2.380884883141402E-14 -3.860344488712859E-14 -8.036778816914183E-15 -8.023496010835827E-15 8.326672684688674E-15 -1.001976279724204E-14 5.525492806170325E-16 -5.909480250673611E-15 7.481991585171472E-15 3.790528748456145E-15 1.887209821089089E-14 -3.289172141141946E-14 -7.372605314459370E-15 -1.459587408586811E-14 -3.556520373010148E-15
-2.239205347398085E-17 1.697701250398579E-15 -7.502491487509879E-18 9.604154408896702E-18 -3.365995296305235E-16 3.749999999999997E+00 -3.734871418616369E-15 3.301190549622168E-15 3.968626966596881E+00 5.788284348356985E-15 4.734465469388892E-16 7.270359049821574E-15 -3.892719480091954E-15 8.906666636859793E-15 1.561426887715676E-16 -4.968158885636594E-16 -1.626485646031952E-15 9.141992718397738E-16 -8.706143445058628E-16 -3.780697678751698E-16 1.004638686918900E-15 -5.038653269070791E-15 -1.173959219057689E-14 -3.715777685542326E-15 -9.370976217226710E-15 1.194080641656048E-14 7.896118320181898E-15 -1.526589830125643E-14 5.139742614907712E-15 1.986501424405002E-15 -3.698430450782549E-15 1.386911419043458E-14 -1.678724433767936E-15 6.719348893209534E-15 -1.888170077406111E-14 5.599254737282220E-15 -2.756920834768232E-15 4.450010947321605E-15 1.285083151003619E-14 6.591949208711870E-15 -3.032795369006802E-14 1.407640009328668E-15 -2.645516664223041E-14 5.752375636841644E-15 -3.000497952306329E-14 -7.048886620862346E-15 4.877012828939394E-15 1.304512053934551E-15 -1.173366959150713E-14 2.112893193739762E-15 2.942082883740372E-14 -3.411001382131535E-14 3.675834566438973E-15 -4.614319195091132E-14 -1.890637814809073E-14 8.217383391717490E-15 -8.222572136283553E-16 -5.176414852314801E-15 6.120104423246201E-15 6.787972961497256E-15 3.506195984590010E-14 -2.979872072835992E-15 5.894385495275077E-15 -3.854657502195191E-14 -1.115728450475292E-14 0.000000000000000E+00
0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 1.984313483298445E+00 -1.984313483298444E+00 -3.459493314992382E-15 5.250000000000003E+00 -5.250000000000000E+00 -3.832007628641449E-15 -6.569421722424177E-15 2.598076211353317E+00 -2.598076211353318E+00 2.196904541498498E-15 -1.231005861621742E-14 -6.222213318197441E-15 3.830269434956790E-15 -6.002143226879753E-15 2.890186681420993E-15 -5.863350237200671E-15 -1.015705501631203E-14 -2.604422411296921E-15 1.095651347426951E-14 -1.335737076502141E-14 -4.668446533841134E-15 -5.466916046361966E-16 6.832266556663238E-16 -2.888608443721582E-15 -3.511094843878344E-15 7.771561172376096E-15 -1.536271110325060E-14 -3.479934960207190E-15 -1.301240079928206E-14 1.967526425145008E-14 -5.792948395324508E-15 -5.410842025959700E-15 -4.325086135535395E-15 1.353084311261910E-14 -3.677613769070831E-15 -5.433651058808557E-15 3.021406238713181E-16 2.738715530952177E-14 -8.699636596200585E-15 -4.285803834752707E-15 -1.037762012064990E-14 8.054879918195720E-15 4.024558464266192E-15 5.148659276699163E-15 -6.259059971866780E-15 9.116089250573688E-15 7.613430814081646E-15 -5.140554140904596E-15 1.301261487456484E-14 -8.135507306045142E-15 -1.066750787551511E-14 -6.540634821811359E-15 -8.326672684688674E-17 -5.495603971894525E-15 4.518051704427922E-15 9.767476402477885E-15 -2.473749966794322E-16 -2.128419227704646E-15 -4.278097818053734E-15 -6.741146208959278E-15 -1.806779666447659E-14 -2.063129628609855E-14 0.000000000000000E+00
0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 -1.984313483298444E+00 1.984313483298443E+00 2.962061358256032E-15 -5.250000000000000E+00 5.249999999999996E+00 5.086212701772681E-15 7.011505158255140E-15 -2.598076211353317E+00 2.598076211353318E+00 5.925308078722084E-16 9.330454205792760E-15 4.561405325329833E-15 -5.460909502374989E-15 7.299716386910404E-15 -7.691901262924795E-15 -8.141072384360093E-15 8.777705907421661E-15 8.167375561014411E-15 -9.096889908022376E-15 1.149774719877428E-14 -3.158625789766220E-15 -1.707116001738426E-14 7.399175279561365E-15 8.981975424954727E-15 5.370231666383623E-16 -4.829470157119431E-15 1.258715354168771E-14 -1.016468289524693E-15 1.618737009066391E-15 -9.328939759855406E-15 -3.054629223134828E-15 7.980888271634576E-15 -2.412136861816361E-15 -1.025568518997488E-14 4.996003610813204E-16 4.767517244033463E-15 -1.123783741642911E-14 -2.668632702522714E-14 -2.096662850799953E-14 2.238264920031368E-14 1.698900032311867E-15 -7.344239498516074E-15 -1.471045507628332E-15 -7.577272143066693E-15 1.103301897775495E-14 -1.572191624709337E-14 -1.333107939090120E-14 -1.836364791597416E-14 2.115619616230065E-14 1.267088587687243E-14 8.587466852773456E-15 -4.269698859111477E-16 1.026956297778270E-15 4.746203430272544E-15 -7.715960592729716E-17 -1.440803717789208E-15 -3.222071955274181E-15 -9.668134089806637E-15 5.179545353663025E-14 8.800251539998960E-15 1.682488082661403E-14 0.000000000000000E+00 0.000000000000000E+00
0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 -1.702498391342628E-15 1.730253966958258E-15 3.968626966596881E+00 -4.320962754273786E-15 5.700067917675348E-15 6.999999999999992E+00 7.782660692116915E-15 1.982260159479450E-16 9.981131341083955E-15 4.472135954999573E+00 1.173001040917498E-14 1.605782403273363E-15 2.934151488530400E-15 -3.988863361924298E-15 3.030561912531478E-15 -4.394271405083753E-15 1.601217530962371E-15 3.339856840254333E-15 -5.465636011165259E-15 -2.027072147842665E-14 -5.172945405362845E-15 -7.869139367899790E-15 1.614282844767181E-14 1.119080088165591E-14 -1.085427012939712E-14 7.194601262446089E-15 4.428046026598509E-15 -9.547918011776342E-15 2.522374670244077E-14 -5.311506443006542E-16 5.517879244341407E-15 -2.520199404601360E-14 1.863710705151639E-15 -2.915257015597978E-15 4.889372331259594E-15 2.157996004115148E-14 1.093222734560584E-14 -3.402421573650560E-14 -1.885048107191919E-15 -3.944010617888785E-14 9.022655100109515E-15 -2.098678632995551E-14 -1.310463911642449E-14 7.921285370205803E-15 4.413136522884989E-15 -1.392289061818986E-14 1.637188648540012E-14 2.996638581807127E-14 -3.290735726752988E-14 2.585621905896944E-14 -4.741266821295967E-14 -2.104939778664689E-14 0.000000000000000E+00 0.000000000000000E+00 -5.329070518200761E-15 4.225786387479530E-15 2.581875685470082E-14 2.178522661745729E-14 9.045552088122244E-15 2.433510768210583E-15 -6.119726033248975E-14 0.000000000000000E+00 0.000000000000000E+00
0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 4.635181127810029E-15 -3.847616669716558E-15 5.723136781834719E-15 -7.251144129583054E-15 7.577272143066693E-15 7.761822973678965E-15 1.399999999999998E+01 3.760880495917718E-15 1.056099652174680E-14 -7.182764801989013E-15 1.341640786499872E+01 0.000000000000000E+00 -2.053912595556540E-15 -3.358424649491099E-15 -9.514139360901516E-15 -3.629563371321881E-15 1.731279484649044E-15 0.000000000000000E+00 -5.051514762044462E-15 -1.962319196024964E-14 1.406839410807762E-14 -1.727204475558994E-14 8.940688154628523E-15 -3.623692419739388E-15 0.000000000000000E+00 2.026157019940911E-15 -5.107025913275720E-15 1.035509646938929E-15 -2.303178568272320E-14 -9.314659469857394E-15 7.071682305930632E-16 1.642294493390084E-14 0.000000000000000E+00 -3.552713678800501E-15 2.176037128265307E-14 -1.559101928248526E-14 -1.307332387346504E-14 -1.161106943396045E-14 -1.679249429815586E-14 3.297271881564170E-14 -5.147679628687015E-14 0.000000000000000E+00 -1.387778780781446E-15 7.716050021144838E-15 7.111070106506128E-15 -6.470782766635094E-15 4.219637284662374E-15 -3.112977689434944E-14 1.284901668968862E-14 -3.761411136162224E-14 -1.093677465248490E-15 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 -1.351476830473964E-15 1.000015504356894E-14 1.140009912096323E-14 1.528537033670789E-15 -4.673714046955546E-14 2.456898241423335E-15 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00
