% degree N
6
% number of nodes
28
% node coordinates
-1.000000000000000E+00 -1.000000000000000E+00
-8.302238962785673E-01 -1.000000000000000E+00
-4.688487934707143E-01 -1.000000000000000E+00
0.000000000000000E+00 -1.000000000000000E+00
4.688487934707143E-01 -1.000000000000000E+00
8.302238962785669E-01 -1.000000000000000E+00
1.000000000000000E+00 -1.000000000000000E+00
-1.000000000000000E+00 -8.302238962785667E-01
-7.695164961934418E-01 -7.695164961934415E-01
-3.647692565366892E-01 -7.440953960343212E-01
1.088646525710104E-01 -7.440953960343213E-01
5.390329923868828E-01 -7.695164961934415E-01
8.302238962785673E-01 -8.302238962785673E-01
-1.000000000000000E+00 -4.688487934707143E-01
-7.440953960343215E-01 -3.647692565366893E-01
-3.333333333333334E-01 -3.333333333333334E-01
1.088646525710105E-01 -3.647692565366892E-01
4.688487934707138E-01 -4.688487934707141E-01
-1.000000000000000E+00 0.000000000000000E+00
-7.440953960343213E-01 1.088646525710104E-01
-3.647692565366892E-01 1.088646525710105E-01
0.000000000000000E+00 0.000000000000000E+00
-1.000000000000000E+00 4.688487934707141E-01
-7.695164961934413E-01 5.390329923868827E-01
-4.688487934707144E-01 4.688487934707143E-01
-9.999999999999999E-01 8.302238962785673E-01
-8.302238962785667E-01 8.302238962785670E-01
-1.000000000000000E+00 1.000000000000000E+00
% r collocation differentation matrix
-1.050000000000001E+01 1.420157660291981E+01 -5.668985225545486E+00 3.199999999999980E+00 -2.049964813076729E+00 1.317373435702429E+00 -4.999999999999986E-01 -8.881784197001252E-16 2.442490654175344E-15 -2.192679915418178E-15 -7.921916784817197E-16 2.254576838766550E-15 -8.279590670310931E-16 -4.700101233504129E-16 1.172750995238828E-15 1.048451903862874E-16 -2.039294898545483E-15 7.296908168283576E-16 1.376730731619389E-15 -2.846885244076714E-15 1.196475720240225E-15 5.634489523583617E-16 1.033233897959244E-16 1.241989393642432E-15 -9.781119743329708E-16 -6.446896524984581E-16 3.141335448510194E-16 9.179802842898389E-17 
-2.442926014244299E+00 1.206399749423977E-14 3.455828214294279E+00 -1.598606688098365E+00 9.613397972887123E-01 -6.022471796357864E-01 2.266118703954460E-01 -1.110223024625157E-15 8.326672684688674E-16 1.134428634736506E-15 -5.884901478032545E-16 1.424002385739078E-16 -4.041182880303766E-16 2.628453592039911E-16 -1.801349784487104E-15 1.893355952900231E-15 -6.577862662120012E-16 1.202007849594421E-16 -2.687510646971211E-16 2.990830957912238E-16 7.297354628873995E-16 -5.392119814626752E-16 -1.150073168170716E-16 -8.559786377422478E-17 -1.764252820195338E-16 1.302379951036042E-16 5.882248701746816E-17 -6.499611193699530E-17 
6.252566655153446E-01 -2.215804283169973E+00 -1.343610644877684E-16 2.266698087085999E+00 -1.066441904006376E+00 6.163908355175800E-01 -2.260994009425744E-01 2.220446049250313E-16 1.110223024625157E-16 -5.331959849306714E-16 1.772938342165517E-16 -1.142261936616630E-17 3.242974457026786E-17 1.393355810756457E-16 2.294968428163690E-16 -1.185880308582311E-15 1.010410229150867E-15 -2.750952066934992E-16 4.727949674827604E-16 -1.514909832380447E-16 -5.752320365859885E-16 2.475144379847616E-16 1.232928240533696E-18 -3.428216085988476E-17 2.132166174591793E-16 -2.278134300673725E-17 -4.457733458601334E-17 2.328143327391450E-17 
-3.125000000000013E-01 9.075444712688221E-01 -2.006969240588751E+00 -2.653186343950341E-15 2.006969240588755E+00 -9.075444712688222E-01 3.125000000000002E-01 -4.022060802455546E-16 2.220446049250313E-16 1.954569955441047E-16 7.393599229904109E-17 4.314886204236049E-16 -3.967317028205769E-16 -3.781334437930721E-16 1.774722980851764E-16 4.142754938728344E-16 -5.477709420507212E-16 6.525980796405579E-17 1.329594313004197E-16 -5.265729611211912E-16 2.089714756081676E-16 2.082885341524305E-16 1.336488899760561E-16 3.068651916604662E-18 -9.384357445327365E-17 -3.207473607688515E-17 2.472060431712926E-17 1.247848407706487E-18 
2.260994009425752E-01 -6.163908355175798E-01 1.066441904006374E+00 -2.266698087085996E+00 -3.884102006732404E-15 2.215804283169973E+00 -6.252566655153422E-01 0.000000000000000E+00 2.220446049250313E-16 -3.460356878315659E-16 7.153537523587259E-17 3.832221901838739E-17 -1.014714767504762E-16 2.503420696715949E-16 -9.940703571050409E-17 1.931527447110096E-16 -2.544938275939142E-16 9.738229137109778E-17 -1.324320599175921E-16 3.205172262261181E-16 7.732241668740524E-16 -8.175625375613572E-16 -3.950039814415835E-16 3.005702813703790E-16 -1.838966958610970E-16 1.005978148216213E-17 5.209918563710663E-17 -2.502117576141051E-17 
-2.266118703954464E-01 6.022471796357867E-01 -9.613397972887117E-01 1.598606688098366E+00 -3.455828214294287E+00 7.105427357601002E-15 2.442926014244285E+00 4.440892098500626E-16 -3.681919014553046E-16 -9.230441917557227E-17 -2.149823886985766E-16 -3.196639079623075E-17 7.476617047078083E-17 4.440433612821329E-16 7.968533487094860E-17 -1.404877650682180E-15 5.077407718212669E-16 3.261543403074345E-16 3.712874920185815E-16 -8.967413278266906E-17 -4.159749489884102E-16 3.880523241589224E-16 -9.766987325919016E-18 1.428764968905797E-16 -8.371736848354649E-17 -1.235916385273395E-16 9.024447463852680E-17 8.465691450891495E-18 
5.000000000000002E-01 -1.317373435702434E+00 2.049964813076735E+00 -3.199999999999991E+00 5.668985225545508E+00 -1.420157660291981E+01 1.049999999999999E+01 -4.440892098500626E-16 1.776356839400250E-15 -2.908205073148111E-15 4.183770793709278E-15 -5.232757670375769E-15 2.726942545756907E-15 -1.103765481555318E-15 -2.930128046619655E-16 -2.237591504998089E-16 2.179550161023395E-15 1.206774573427645E-16 -2.541372084476099E-15 1.727940782349779E-15 -1.149675651331237E-15 1.261957584306314E-15 1.150329786104999E-15 -1.085542736692106E-15 1.525491429822227E-17 3.151195654843539E-16 -2.181126897604938E-16 -1.256412070958531E-17 
-1.655262361973606E+00 4.384712827957401E+00 -3.690760330301410E+00 3.117477922832150E+00 -2.589139777647820E+00 1.985656364247195E+00 -8.439773500154493E-01 -7.125074416831681E+00 1.033663482987605E+01 -4.496281557246644E+00 2.344788531765869E+00 -1.167291801379799E+00 3.442497157087381E-01 -8.262240580904103E-01 -9.459224280501490E-01 4.951104840739164E-01 -2.755995418767818E-01 1.307651838517995E-01 5.719017095285404E-01 2.682264060356786E-01 -9.869462071486598E-02 1.942963420565655E-02 -4.010453740426711E-01 -1.001590615422856E-01 2.857613168759596E-02 2.752184182584919E-01 2.041089894500932E-02 -1.077263792605193E-01 
5.517000562263972E-01 -9.201040534747418E-01 1.176961681655652E+00 -1.098244520847073E+00 9.850637427480633E-01 -8.000787078144385E-01 3.547796641416823E-01 -1.554401666328817E+00 -5.151499637263659E-01 3.209748551194648E+00 -1.432336019241392E+00 6.956394087831183E-01 -2.074823808480145E-01 -3.692128423999689E-01 -1.922050612666489E-01 -1.206297624012167E-01 9.935195321042956E-02 -6.178154481498808E-02 1.896527659734798E-01 1.352424016079703E-01 8.965120381051253E-04 9.133602269949040E-04 -1.456346499093812E-01 -6.856554389690839E-02 4.395998819367516E-04 1.094119850117926E-01 2.371327225942746E-02 -4.768823798974196E-02 
-3.209579837677063E-01 6.517741597973215E-01 -7.185764488489381E-01 7.710995593958198E-01 -7.232594971905479E-01 6.144893723368152E-01 -2.839982992665914E-01 4.198521513797139E-01 -1.800934241108812E+00 -1.004212072760152E-01 2.108995815462389E+00 -8.271414419112162E-01 2.349085738334099E-01 9.368937913564779E-02 -1.564382006974678E-01 8.832124526321539E-03 -7.222323268610531E-02 5.972805372760351E-02 -8.063985275377890E-03 6.510697498621423E-02 2.630175257413538E-02 -1.023528932041926E-02 -9.989363497565767E-03 -4.724571213519808E-02 1.414795222066469E-03 2.018650040444082E-02 1.455836312895462E-02 -1.145267292889282E-02 
