% degree N
4
% number of nodes
15
% node coordinates
-1.000000000000000E+00 -1.000000000000000E+00
-6.546536707079771E-01 -1.000000000000000E+00
0.000000000000000E+00 -1.000000000000000E+00
6.546536707079772E-01 -9.999999999999999E-01
1.000000000000000E+00 -1.000000000000000E+00
-1.000000000000000E+00 -6.546536707079771E-01
-5.515835075553056E-01 -5.515835075553056E-01
1.031670151106111E-01 -5.515835075553056E-01
6.546536707079772E-01 -6.546536707079772E-01
-1.000000000000000E+00 0.000000000000000E+00
-5.515835075553056E-01 1.031670151106112E-01
0.000000000000000E+00 0.000000000000000E+00
-9.999999999999999E-01 6.546536707079771E-01
-6.546536707079772E-01 6.546536707079772E-01
-1.000000000000000E+00 1.000000000000000E+00
% r collocation differentation matrix
-4.999999999999999E+00 6.756502488724236E+00 -2.666666666666665E+00 1.410164177942428E+00 -5.000000000000001E-01 -4.961274222700174E-16 5.413568375438304E-16 -8.522829712875626E-17 -1.676196893420314E-15 -5.166416410256427E-16 1.154751059806361E-15 1.235929791107466E-16 -6.789349140396638E-17 -4.885953079039489E-16 1.884420264833628E-16 
-1.240990253030982E+00 -9.737622607554357E-16 1.745743121887939E+00 -7.637626158259735E-01 2.590097469690169E-01 2.494985505992646E-16 -2.381486186919564E-16 2.858382524745135E-16 6.831553864425757E-16 9.871148048976608E-17 -3.238871329045478E-16 -2.362416667395202E-16 5.583998761693083E-17 2.217433750980487E-16 -9.744319763025741E-17 
3.749999999999998E-01 -1.336584577695453E+00 6.158154947935511E-16 1.336584577695454E+00 -3.750000000000000E-01 1.667157988377346E-16 -2.546042249907926E-16 -1.182456667693049E-15 -5.396879057846096E-16 5.296740487005217E-17 3.915414101570503E-16 6.300062639993507E-16 -1.508162494115039E-16 -4.165913232648430E-16 1.996529376494126E-16 
-2.590097469690171E-01 7.637626158259729E-01 -1.745743121887938E+00 -9.308475505145580E-16 1.240990253030983E+00 -2.688366895137165E-16 -1.398780958079132E-16 -6.881536436891160E-16 1.137888513513419E-15 7.056312906185866E-18 7.523618190617381E-16 -5.657977958466941E-16 -1.622681645699444E-16 -2.341719148032953E-17 5.359246379179354E-17 
4.999999999999987E-01 -1.410164177942425E+00 2.666666666666662E+00 -6.756502488724240E+00 5.000000000000000E+00 2.165909893615288E-16 -4.941009833647280E-16 5.786216013685017E-15 3.447621754116302E-15 3.874883299847046E-16 -2.720916700434561E-15 -2.726334343547419E-15 6.380623174862610E-16 2.188056772527040E-15 -9.870537770810125E-16 
-9.850899690646711E-01 2.410138459487758E+00 -2.012532958932446E+00 1.569010545082538E+00 -6.902125107913413E-01 -3.334844906604314E+00 4.745854126443494E+00 -1.764262700058703E+00 4.702877721297085E-01 -3.825172938307966E-01 -4.055222040292171E-01 1.719662634888710E-01 2.633434123783585E-01 4.148531343059123E-02 -9.710334912983093E-02 
3.710196699958409E-01 -6.612771820363523E-01 7.557453508986883E-01 -6.612771820363529E-01 3.190184106673603E-01 -8.894154603466158E-01 -2.037107055561450E-01 1.527299277178653E+00 -3.615305348979478E-01 -1.899408217618772E-01 -4.814327894973103E-16 -7.720734566921757E-02 7.599848376454657E-02 3.089194387977243E-02 -3.561390408035209E-02 
-3.190184106673602E-01 6.612771820363524E-01 -7.557453508986888E-01 6.612771820363533E-01 -3.710196699958411E-01 3.615305348979487E-01 -1.527299277178653E+00 2.037107055561451E-01 8.894154603466148E-01 7.720734566921743E-02 2.457990915296342E-16 1.899408217618775E-01 -3.089194387977238E-02 -7.599848376454650E-02 3.561390408035215E-02 
6.902125107913415E-01 -1.569010545082538E+00 2.012532958932447E+00 -2.410138459487762E+00 9.850899690646718E-01 -4.702877721297096E-01 1.764262700058704E+00 -4.745854126443491E+00 3.334844906604313E+00 -1.719662634888706E-01 4.055222040292162E-01 3.825172938307963E-01 -4.148531343059146E-02 -2.633434123783581E-01 9.710334912983087E-02 
5.139473179819207E-01 -3.885176319680326E-01 -6.104958585131285E-01 1.255574460832307E+00 -8.328718938848468E-01 -1.490459951871575E+00 3.797790432112491E+00 -3.087459725102730E+00 1.255574460832305E+00 -3.196930495855840E+00 3.797790432112493E+00 -6.104958585131290E-01 -1.538753741761218E-01 -3.885176319680326E-01 1.389473179819207E-01 
