% degree N
4
% number of nodes
35
% node coordinates
-1.000000000000000E+00 -1.000000000000000E+00 -9.999999999999999E-01
-6.546536707079773E-01 -1.000000000000000E+00 -9.999999999999999E-01
0.000000000000000E+00 -1.000000000000000E+00 -9.999999999999999E-01
6.546536707079771E-01 -1.000000000000000E+00 -9.999999999999999E-01
1.000000000000000E+00 -1.000000000000000E+00 -9.999999999999999E-01
-3.714417321252297E-01 4.110231304441597E-01 5.761174563059946E-16 -4.110231304441602E-01 3.714417321252301E-01 4.110535953859362E-01 -8.606561621916956E-01 8.606561621916951E-01 -4.110535953859357E-01 4.923254693474498E-02 2.478923560012789E-16 -4.923254693474535E-02 3.046494177609206E-05 -3.046494177612000E-05 6.145854955765667E-17 4.110535953859359E-01 -8.606561621916951E-01 8.606561621916944E-01 -4.110535953859353E-01 -9.494476005676397E-01 5.003454439630154E-17 9.494476005676398E-01 -8.879143837594619E-02 8.879143837594608E-02 -6.251874627416412E-19 4.923254693474492E-02 1.013377720945887E-16 -4.923254693474485E-02 -8.879143837594607E-02 8.879143837594591E-02 6.282673467682111E-17 3.046494177606311E-05 -3.046494177611087E-05 7.646730599049626E-18 8.179374365976876E-17 
9.058506312017627E-01 -1.414628513246232E+00 7.915013921534608E-01 2.119651761326431E-01 -4.542444930180402E-01 -6.773526859297454E-01 1.684865883708408E+00 -2.072502889699473E+00 8.211937782707120E-01 -1.541849310330296E-01 1.575670581457967E-01 1.658397908506492E-01 -1.617333908520038E-02 -1.442205642636185E-01 6.959329132751113E-02 -6.773526859297448E-01 1.684865883708408E+00 -2.072502889699472E+00 8.211937782707112E-01 7.783849344942106E-01 -3.549149806057934E+00 2.591346832922599E+00 1.575670581457974E-01 1.575670581457965E-01 -6.822209671996758E-02 -1.541849310330305E-01 1.575670581457964E-01 1.658397908506490E-01 1.575670581457971E-01 1.575670581457971E-01 -2.410097830974322E-02 -1.617333908520036E-02 -1.442205642636186E-01 -6.822209671996787E-02 6.959329132751195E-02 
-3.886117683048717E-01 1.617333908520045E-02 1.541849310330307E-01 6.773526859297436E-01 -9.058506312017611E-01 8.054979240364536E-01 -1.575670581457963E-01 -1.684865883708405E+00 1.414628513246230E+00 -9.215853448767468E-01 2.072502889699471E+00 -7.915013921534595E-01 -1.599164184978762E-01 -2.119651761326432E-01 8.322474825269799E-02 4.297527058323526E-01 -1.575670581457958E-01 -7.783849344942103E-01 6.773526859297427E-01 -1.684865883708404E+00 3.549149806057930E+00 -1.684865883708404E+00 -2.387637005991065E+00 2.072502889699471E+00 6.822209671996755E-02 1.013082824525332E-01 -1.575670581457974E-01 1.541849310330303E-01 -1.575670581457964E-01 -1.575670581457968E-01 2.410097830974336E-02 3.733016749400071E-02 1.617333908520089E-02 6.822209671996747E-02 -3.397939710993812E-02 
9.058506312017613E-01 -6.773526859297443E-01 -1.541849310330304E-01 -1.617333908520069E-02 3.886117683048719E-01 -1.414628513246231E+00 1.684865883708406E+00 1.575670581457962E-01 -8.054979240364528E-01 7.915013921534593E-01 -2.072502889699471E+00 9.215853448767463E-01 2.119651761326438E-01 1.599164184978763E-01 -8.322474825269825E-02 -6.773526859297442E-01 7.783849344942118E-01 1.575670581457958E-01 -4.297527058323520E-01 1.684865883708404E+00 -3.549149806057930E+00 1.684865883708403E+00 -2.072502889699471E+00 2.387637005991065E+00 -6.822209671996743E-02 -1.541849310330307E-01 1.575670581457973E-01 -1.013082824525337E-01 1.575670581457967E-01 1.575670581457966E-01 -2.410097830974340E-02 -1.617333908520034E-02 -3.733016749400097E-02 -6.822209671996772E-02 3.397939710993848E-02 
6.902125158949846E-01 -3.196321740415651E-16 -1.178544294771369E-16 1.374198254613182E-15 -6.902125158949862E-01 -1.569010551036788E+00 4.109454629369902E-15 -4.737209156549488E-15 1.569010551036790E+00 2.012532846019714E+00 -6.106762976284425E-16 -2.012532846019715E+00 -2.410138059837893E+00 2.410138059837894E+00 -6.026891097861522E-17 -4.702878627384683E-01 1.584317673280551E-15 -1.746133744514555E-15 4.702878627384691E-01 1.764262225864565E+00 3.318944973396677E-15 -1.764262225864569E+00 -4.745853787794525E+00 4.745853787794525E+00 4.479123574112322E-16 -1.719661369664250E-01 -3.188655842936634E-16 1.719661369664258E-01 4.055218994853149E-01 -4.055218994853150E-01 -7.765781738229066E-16 -4.148531938484244E-02 4.148531938484210E-02 4.516514472701570E-16 -1.301143789341125E-16 
5.139475128423469E-01 -3.885179764516956E-01 -6.104958704216310E-01 1.255574545324940E+00 -8.328719028162230E-01 2.088932227752668E-16 4.650632122203685E-17 -1.651099048648747E-16 2.349633164787284E-16 1.124122794130705E-16 2.455978930134473E-16 1.535562498825331E-19 -1.183209826964506E-16 -1.553681719944403E-16 9.130036225039890E-17 -1.490460409503150E+00 3.797790402270560E+00 -3.087458895262988E+00 1.255574545324938E+00 -8.781447070455894E-17 3.302669910639477E-16 -8.347432002414328E-16 6.761911578627198E-16 -2.185249312368602E-16 1.221861761626694E-17 -3.196930187738980E+00 3.797790402270559E+00 -6.104958704216311E-01 -9.278682279430697E-17 6.911283893033695E-16 -2.763765957422699E-16 -1.538758318076969E-01 -3.885179764516969E-01 -1.225142604641260E-17 1.389475128423470E-01 
-3.546323711949335E-01 3.924225383383518E-01 3.675575550556611E-16 -3.924225383383527E-01 3.546323711949342E-01 -1.090699283473379E-16 3.762806891850873E-16 -2.737559114063026E-16 -3.641337157419720E-17 -7.019941994781438E-17 -7.165743142221305E-17 2.006427073059459E-18 -4.486864467965564E-17 9.944296016016656E-17 2.637199980412300E-17 7.372758273164863E-01 -1.527298825562609E+00 1.527298825562607E+00 -7.372758273164851E-01 -1.551058364091185E-16 -1.572923707322772E-16 5.426424517572599E-16 4.102561651953067E-17 5.819062371592816E-18 -1.128371802507876E-16 -9.456863231864903E-01 9.373813232734127E-16 9.456863231864902E-01 1.863090395451654E-16 -4.151709259797638E-16 4.622655663397641E-17 -2.281385152178448E-01 2.281385152178445E-01 5.251777421072656E-17 -4.948112177621703E-17 
8.328719028162208E-01 -1.255574545324940E+00 6.104958704216309E-01 3.885179764516973E-01 -5.139475128423467E-01 5.822953821533078E-16 -1.627243940123033E-15 1.013643072127155E-15 -2.937657026890736E-16 4.163166718237336E-16 3.149104525736364E-17 -3.038285983193993E-16 -2.030490971740873E-16 1.932237459258837E-16 -4.200146581168194E-18 -1.255574545324941E+00 3.087458895262993E+00 -3.797790402270559E+00 1.490460409503148E+00 -1.120740825511145E-16 7.036556132853362E-16 -8.790429840907983E-16 5.443748019538337E-16 -5.799277048172055E-16 8.911999268674616E-17 6.104958704216294E-01 -3.797790402270561E+00 3.196930187738978E+00 -5.793833756303489E-16 1.405375469726778E-15 -2.427199582553602E-16 3.885179764516976E-01 1.538758318076970E-01 -1.961753948025440E-16 -1.389475128423465E-01 
-3.886117683048725E-01 1.617333908520162E-02 1.541849310330299E-01 6.773526859297438E-01 -9.058506312017607E-01 4.297527058323525E-01 -1.575670581457974E-01 -7.783849344942105E-01 6.773526859297442E-01 1.013082824525346E-01 -1.575670581457966E-01 1.541849310330297E-01 3.733016749400007E-02 1.617333908520082E-02 -3.397939710993795E-02 8.054979240364543E-01 -1.575670581457987E-01 -1.684865883708402E+00 1.414628513246228E+00 -1.684865883708403E+00 3.549149806057930E+00 -1.684865883708404E+00 -1.575670581457969E-01 -1.575670581457968E-01 6.822209671996765E-02 -9.215853448767461E-01 2.072502889699471E+00 -7.915013921534602E-01 -2.387637005991067E+00 2.072502889699474E+00 2.410097830974351E-02 -1.599164184978769E-01 -2.119651761326428E-01 6.822209671996750E-02 8.322474825269784E-02 
9.058506312017617E-01 -6.773526859297446E-01 -1.541849310330297E-01 -1.617333908520158E-02 3.886117683048724E-01 -6.773526859297444E-01 7.783849344942106E-01 1.575670581457972E-01 -4.297527058323525E-01 -1.541849310330296E-01 1.575670581457966E-01 -1.013082824525342E-01 -1.617333908520076E-02 -3.733016749400046E-02 3.397939710993800E-02 -1.414628513246231E+00 1.684865883708406E+00 1.575670581457966E-01 -8.054979240364527E-01 1.684865883708404E+00 -3.549149806057931E+00 1.684865883708404E+00 1.575670581457972E-01 1.575670581457968E-01 -6.822209671996771E-02 7.915013921534590E-01 -2.072502889699471E+00 9.215853448767460E-01 -2.072502889699473E+00 2.387637005991067E+00 -2.410097830974343E-02 2.119651761326438E-01 1.599164184978762E-01 -6.822209671996778E-02 -8.322474825269768E-02 
