 4  5   125000  8000000 4.279840e-04 1.869229e+10 3.244320e-06 5.911436e+02 5.430229e+02 1.243621e+03 1.425287e+03 6 %% [MassMatrixMultiply: NUM_DOFS_1D, NUM_QUAD_1D, numElements, Ndofs, elapsed, dofsPerSecond, nothingElapsed, BW in GB/s, estimated peak Device BW, est. GFLOPS/s, oddeven GFLOPS/s, mode]
 5  6    64000  8000000 4.804898e-04 1.664968e+10 3.549760e-06 4.965599e+02 5.803561e+02 1.192383e+03 1.454516e+03 1 %% [MassMatrixMultiply: NUM_DOFS_1D, NUM_QUAD_1D, numElements, Ndofs, elapsed, dofsPerSecond, nothingElapsed, BW in GB/s, estimated peak Device BW, est. GFLOPS/s, oddeven GFLOPS/s, mode]
 5  6    64000  8000000 4.614525e-04 1.733656e+10 3.239040e-06 5.170456e+02 4.717249e+02 1.241575e+03 1.514522e+03 2 %% [MassMatrixMultiply: NUM_DOFS_1D, NUM_QUAD_1D, numElements, Ndofs, elapsed, dofsPerSecond, nothingElapsed, BW in GB/s, estimated peak Device BW, est. GFLOPS/s, oddeven GFLOPS/s, mode]
 5  6    64000  8000000 3.950572e-04 2.025023e+10 3.072560e-06 6.039429e+02 4.720585e+02 1.450241e+03 1.769060e+03 3 %% [MassMatrixMultiply: NUM_DOFS_1D, NUM_QUAD_1D, numElements, Ndofs, elapsed, dofsPerSecond, nothingElapsed, BW in GB/s, estimated peak Device BW, est. GFLOPS/s, oddeven GFLOPS/s, mode]
 5  6    64000  8000000 3.983636e-04 2.008215e+10 3.211200e-06 5.989302e+02 5.818192e+02 1.438204e+03 1.754377e+03 4 %% [MassMatrixMultiply: NUM_DOFS_1D, NUM_QUAD_1D, numElements, Ndofs, elapsed, dofsPerSecond, nothingElapsed, BW in GB/s, estimated peak Device BW, est. GFLOPS/s, oddeven GFLOPS/s, mode]
 5  6    64000  8000000 4.027637e-04 1.986277e+10 3.179840e-06 5.923871e+02 5.033868e+02 1.422492e+03 1.735211e+03 5 %% [MassMatrixMultiply: NUM_DOFS_1D, NUM_QUAD_1D, numElements, Ndofs, elapsed, dofsPerSecond, nothingElapsed, BW in GB/s, estimated peak Device BW, est. GFLOPS/s, oddeven GFLOPS/s, mode]
 5  6    64000  8000000 5.177362e-04 1.545188e+10 3.482880e-06 4.608370e+02 4.709930e+02 1.106602e+03 1.349876e+03 6 %% [MassMatrixMultiply: NUM_DOFS_1D, NUM_QUAD_1D, numElements, Ndofs, elapsed, dofsPerSecond, nothingElapsed, BW in GB/s, estimated peak Device BW, est. GFLOPS/s, oddeven GFLOPS/s, mode]
 6  7    37037  7999992 4.412561e-04 1.813004e+10 3.558720e-06 5.203994e+02 4.703386e+02 1.347667e+03 1.790846e+03 1 %% [MassMatrixMultiply: NUM_DOFS_1D, NUM_QUAD_1D, numElements, Ndofs, elapsed, dofsPerSecond, nothingElapsed, BW in GB/s, estimated peak Device BW, est. GFLOPS/s, oddeven GFLOPS/s, mode]
 6  7    37037  7999992 4.097712e-04 1.952307e+10 3.511280e-06 5.603844e+02 5.810698e+02 1.451215e+03 1.928445e+03 2 %% [MassMatrixMultiply: NUM_DOFS_1D, NUM_QUAD_1D, numElements, Ndofs, elapsed, dofsPerSecond, nothingElapsed, BW in GB/s, estimated peak Device BW, est. GFLOPS/s, oddeven GFLOPS/s, mode]
 6  7    37037  7999992 3.795542e-04 2.107734e+10 3.070320e-06 6.049977e+02 4.940874e+02 1.566749e+03 2.081973e+03 3 %% [MassMatrixMultiply: NUM_DOFS_1D, NUM_QUAD_1D, numElements, Ndofs, elapsed, dofsPerSecond, nothingElapsed, BW in GB/s, estimated peak Device BW, est. GFLOPS/s, oddeven GFLOPS/s, mode]
